Open1,High1,Low1,Volume1,Open2,High2,Low2,Volume2,Open3,High3,Low3,Volume3,Date,target
164.88,172.01,164.77,34581850,172.58,174.23,172.08,26750260,170.97,172.48,168.2,34949690,2018-04-09,169.88
307.24,310.43,306.2,42621540,310.6,312.67,308.25,35217270,311.64,317.07,311.15,30521720,2020-01-14,316.7
174.65,175.57,172.85,28204640,172.4,173.94,170.34,31644240,168.99,170.66,168.42,23793830,2019-02-11,171.05
156.29,157.42,156.2,17633730,156.91,157.55,155.27,21175670,157.23,157.83,156.78,16916650,2017-10-27,159.29
116.74,117.5,116.68,21337310,116.8,117.4,116.78,23724430,116.35,116.51,115.64,26043820,2016-12-23,115.59
172.4,173.13,171.65,20442740,173.63,174.17,172.46,40122100,174.88,177.2,174.86,29385650,2017-12-19,175.03
176.23,177.99,174.99,27043580,175.6,177.92,170.27,40396070,175.44,179.83,174.52,30967960,2019-06-05,184.28
118.34,120.24,118.22,34412090,120.0,120.5,119.71,23687350,119.4,120.09,119.37,25554290,2017-01-20,120.45
105.0,105.65,104.51,27997990,103.91,105.3,103.91,52979780,96.0,98.71,95.68,114436300,2016-04-28,97.61
142.9,144.75,142.9,18527000,144.11,145.95,143.37,21080580,144.73,145.85,144.38,18647220,2017-07-12,145.87
110.0,112.28,109.49,52720620,112.73,112.75,111.44,30386830,110.82,112.45,110.68,32970790,2015-10-14,111.29
138.85,139.43,138.82,17048800,139.3,139.65,138.84,15281850,139.41,140.75,139.03,25676720,2017-03-16,140.72
163.89,168.07,163.72,44651420,167.9,169.65,166.94,35779520,169.87,169.94,165.61,33482970,2017-11-02,167.64
221.16,221.83,217.27,30280450,218.93,222.99,216.76,28802550,222.3,222.64,219.34,22692880,2018-10-18,217.86
106.27,107.65,106.18,39546610,107.52,108.37,107.16,28010430,108.23,108.94,108.01,26296260,2016-08-10,108.71
257.33,257.85,255.38,25817950,257.05,258.19,256.32,19974430,256.77,257.49,255.37,18966120,2019-11-07,258.74
162.09,162.24,160.36,21905160,160.86,161.15,158.53,28411740,160.5,162.05,159.89,31506890,2017-09-12,162.61
102.37,103.75,101.37,46026600,102.39,102.83,100.96,35890740,100.78,101.76,100.4,31538710,2016-03-09,101.31
220.0,220.79,217.02,39763300,217.73,220.13,217.56,21158140,219.96,220.82,219.12,18386470,2019-09-18,221.06
310.06,311.77,304.88,40485010,312.6,318.4,312.19,40558490,324.45,327.85,321.38,54149930,2020-01-30,320.54
152.02,152.27,150.56,46575410,149.99,151.83,149.16,44366140,151.78,153.92,151.69,35907770,2017-09-27,153.8
156.86,158.16,149.63,95497900,148.15,151.55,146.59,37169230,148.3,157.23,146.72,58133850,2018-12-27,155.84
175.69,177.75,173.97,27413060,175.94,176.0,174.54,19238480,174.67,175.49,173.94,20755140,2019-03-07,173.87
284.69,284.89,282.92,12119710,284.82,289.98,284.7,23334000,291.12,293.97,288.12,36592940,2019-12-30,289.46
169.03,170.44,168.91,25656110,170.49,171.0,168.82,23285760,169.2,172.89,168.79,34260890,2017-12-12,172.15
194.61,195.96,193.61,19005150,194.99,195.19,190.1,23975350,191.9,192.2,189.07,20912890,2018-07-31,190.3
109.95,110.42,108.12,31735810,108.91,109.77,108.17,23553790,108.97,110.61,108.83,29357940,2016-04-12,109.34
112.49,112.78,110.04,53142590,108.97,110.45,108.51,49904460,111.65,112.56,110.32,54507300,2015-09-09,113.76
194.7,196.79,193.6,21674630,191.55,193.59,190.3,18761470,192.9,194.96,192.17,14669140,2019-06-18,196.05
191.78,191.8,189.93,16365720,189.69,192.55,189.69,20182050,191.78,192.43,190.17,20670830,2018-07-23,190.68
177.96,180.0,177.39,32130360,180.29,182.39,180.21,32191070,182.59,183.5,179.24,31464170,2018-03-14,180.32
204.59,206.11,203.5,16866820,204.05,205.09,203.27,14107450,204.0,205.88,203.7,18582160,2019-07-19,205.79
114.31,114.56,113.51,24336440,115.02,116.75,114.72,36087910,117.7,118.69,116.2,63963010,2016-10-12,117.35
90.0,91.67,90.0,44223040,92.39,94.39,91.65,61192340,94.55,94.7,93.01,46858910,2016-05-18,94.16
315.31,319.64,313.63,34154130,323.52,324.76,318.95,29706720,322.57,325.22,320.26,26356390,2020-02-07,322.37
367.85,370.47,363.64,28510370,370.0,375.78,369.87,29663910,375.41,378.62,372.23,28106110,2020-07-08,376.72
113.84,115.92,113.75,43293350,115.04,116.2,114.98,33962370,115.38,116.73,115.23,46286150,2016-12-16,116.47
184.46,184.94,181.21,40537700,180.95,182.39,176.27,41141250,171.76,174.78,170.42,42704910,2018-12-07,173.49
100.0,100.46,99.74,26219110,99.83,101.0,99.13,32690080,99.26,99.3,98.31,28218240,2016-07-25,98.25
112.95,117.44,112.1,99202400,115.97,116.5,114.12,52828890,114.58,116.25,114.5,38610120,2015-08-10,116.53
153.58,155.45,152.89,27715140,154.34,154.45,153.46,25277680,153.9,155.81,153.78,26591850,2017-06-07,155.02
114.08,114.35,111.63,68176940,110.43,111.9,105.65,127246600,94.87,108.8,92.0,161882500,2015-08-25,111.11
151.5,151.74,150.19,17170490,149.99,150.44,148.88,25111310,150.58,152.44,149.9,21466370,2017-07-25,151.8
155.48,158.13,154.32,33508960,155.79,156.33,153.66,26147280,156.25,158.13,154.11,39914850,2019-01-30,163.25
295.06,301.0,294.46,36937800,300.46,303.24,298.87,35583440,303.22,305.17,301.97,28803760,2020-05-08,305.64
174.35,175.61,173.93,20523870,174.55,175.06,173.41,21532200,173.16,174.3,173.0,23751690,2018-01-11,174.59
96.75,97.65,96.73,23317990,97.17,97.7,97.12,24129530,97.41,97.67,96.84,25879680,2016-07-14,97.39
242.8,245.7,238.97,32470020,250.9,263.11,249.38,50455070,270.8,271.7,259.0,50721830,2020-04-08,262.74
170.1,171.0,169.7,22224400,171.39,172.48,169.92,22389660,169.71,171.26,169.38,21785180,2019-02-15,171.25
174.66,176.24,174.33,24358920,175.11,176.1,173.14,29422610,175.11,175.38,174.27,25129510,2017-11-13,173.5
223.25,228.26,222.4,48696960,226.51,228.87,226.0,43177540,228.41,229.18,226.63,27363960,2018-09-05,228.99
156.25,158.13,154.11,39914850,163.25,166.15,160.23,60800480,166.11,169.0,164.56,40613260,2019-02-01,166.96
148.7,148.83,145.9,54571440,149.56,151.82,148.52,40622910,151.29,154.53,149.63,45034370,2019-01-10,152.5
96.82,97.97,96.42,53454620,104.27,104.35,102.75,92143920,102.83,104.45,102.82,38771840,2016-07-29,104.19
115.04,116.2,114.98,33962370,115.38,116.73,115.23,46286150,116.47,116.5,115.65,44284660,2016-12-19,115.8
293.79,299.96,292.75,29644640,299.84,300.9,297.48,27877660,297.16,304.44,297.16,33090950,2020-01-09,307.24
118.75,118.81,116.86,34806250,117.05,118.11,116.08,33316990,116.55,116.79,114.22,41511380,2015-12-04,115.29
168.99,170.66,168.42,23793830,171.05,171.21,169.25,20940020,170.1,171.0,169.7,22224400,2019-02-13,171.39
172.37,174.99,171.72,34770480,173.91,175.25,173.6,24332120,174.66,176.24,174.33,24358920,2017-11-09,175.11
169.79,173.09,169.0,50908540,172.36,174.82,171.77,40113790,172.05,174.26,171.42,33690660,2018-02-21,172.83
319.25,321.15,316.47,38399530,317.75,322.35,317.21,20254650,320.75,323.44,318.93,21910700,2020-06-03,324.66
113.7,114.34,113.13,28508710,114.31,114.56,113.51,24336440,115.02,116.75,114.72,36087910,2016-10-11,117.7
158.5,163.89,157.51,60774900,161.95,164.75,161.65,32483310,163.05,167.54,162.88,40382890,2018-02-15,169.79
169.06,171.52,168.4,27315530,167.5,170.2,166.46,28397810,169.03,170.44,168.91,25656110,2017-12-08,170.49
173.71,175.3,173.17,16991610,173.21,175.0,172.73,27817640,174.32,174.91,172.92,27953810,2019-03-01,174.28
264.89,279.92,252.95,92683030,241.95,259.08,240.0,80605870,247.51,257.61,238.4,81013970,2020-03-18,239.77
113.25,115.5,112.37,50061580,116.44,116.69,114.02,56005550,113.85,114.57,112.44,51861990,2015-09-29,112.83
169.88,173.09,169.85,28976200,173.0,174.0,171.53,28567110,172.23,173.92,171.7,22401040,2018-04-12,173.41
173.91,175.25,173.6,24332120,174.66,176.24,174.33,24358920,175.11,176.1,173.14,29422610,2017-11-10,175.11
289.93,293.68,289.52,25247630,296.24,300.6,295.19,33911860,297.15,300.58,296.5,36633880,2020-01-06,293.79
184.99,186.22,183.67,28053230,186.55,187.4,185.22,23141260,187.74,190.37,187.65,27942430,2018-05-11,189.49
316.7,317.57,312.17,40653460,311.85,315.5,309.55,30480880,313.59,315.7,312.09,27207250,2020-01-17,316.27
308.1,317.05,307.24,36486560,317.83,319.69,310.91,40575260,312.15,315.95,303.21,50155640,2020-05-14,304.51
115.93,116.53,114.42,43218350,116.25,116.54,115.44,37080720,115.66,116.49,113.72,63712340,2015-09-18,112.21
263.79,265.89,262.73,18661340,267.48,271.0,267.3,26547490,270.0,270.8,264.91,32182650,2019-12-10,268.6
147.17,148.28,145.38,25674500,145.01,146.16,143.62,24725210,144.49,146.11,143.16,22052920,2017-06-29,144.71
178.25,184.25,178.17,56137230,185.18,187.67,184.75,42557530,184.99,186.22,183.67,28053230,2018-05-09,186.55
188.0,189.27,186.91,18383080,188.38,188.88,186.78,15228270,186.35,188.5,185.76,19966590,2018-05-24,188.77
191.39,192.61,191.15,16859020,192.42,192.88,190.44,21480120,191.55,191.57,190.22,21584720,2018-06-15,190.03
108.14,109.54,108.08,25704330,109.63,110.23,109.21,33754680,109.1,109.37,108.34,25328680,2016-08-18,109.23
221.38,222.56,217.47,57977090,218.95,219.84,217.65,19419650,221.03,222.49,217.19,31434370,2019-09-25,218.55
115.8,117.38,115.75,27756760,116.74,117.5,116.68,21337310,116.8,117.4,116.78,23724430,2016-12-22,116.35
189.75,191.87,189.2,15515000,191.78,191.8,189.93,16365720,189.69,192.55,189.69,20182050,2018-07-20,191.78
109.63,110.23,109.21,33754680,109.1,109.37,108.34,25328680,109.23,109.6,109.02,21918340,2016-08-19,108.77
153.97,154.17,152.38,24452750,153.17,153.33,152.22,16383610,153.58,155.45,152.89,27715140,2017-06-05,154.34
187.72,188.0,186.78,18503410,187.22,188.23,186.14,27468700,187.99,190.26,187.75,23377690,2018-06-04,191.64
300.95,302.53,286.13,57668360,286.53,297.88,286.5,49678430,281.1,286.0,272.96,80151380,2020-02-28,257.26
174.32,174.91,172.92,27953810,174.28,175.15,172.89,25737560,175.69,177.75,173.97,27413060,2019-03-05,175.94
277.95,281.68,276.85,32503750,276.28,277.25,265.43,45247890,273.61,277.9,272.2,29264340,2020-04-23,275.87
227.96,228.41,220.58,33507770,222.21,224.8,220.2,28784550,223.64,227.27,222.25,26656630,2018-10-10,225.46
94.2,95.74,93.68,56770080,95.2,95.9,93.82,40984160,94.0,94.07,92.68,35850220,2016-05-06,93.37
99.25,99.87,98.96,22378380,99.02,99.56,98.68,20839950,98.5,99.99,98.46,26575570,2016-06-10,98.53
118.7,120.69,118.27,51106100,120.99,121.22,119.45,49305220,119.87,121.36,119.61,32152870,2015-11-03,120.79
108.97,110.61,108.83,29357940,109.34,110.5,108.66,27150570,110.8,112.34,110.8,32771760,2016-04-14,111.62
121.99,125.5,121.99,115288400,126.2,127.09,125.06,50832950,125.32,125.74,123.9,42090320,2015-07-27,123.09
144.53,148.55,143.8,57423650,148.7,148.83,145.9,54571440,149.56,151.82,148.52,40622910,2019-01-09,151.29
191.66,192.88,184.58,49696100,188.75,189.76,186.55,29771210,188.95,189.56,187.53,20710390,2019-03-29,189.83
95.86,97.33,95.19,46418230,96.52,96.92,93.69,46315620,93.13,95.7,93.04,53920550,2016-02-09,94.29
170.4,171.92,169.02,35474680,170.49,172.57,169.55,31754210,169.0,169.08,165.28,40620360,2018-12-17,165.45
144.29,144.52,143.45,21131040,143.73,144.18,143.27,16658660,143.6,143.88,142.9,18904680,2017-04-11,142.94
117.7,118.69,116.2,63963010,117.35,117.98,116.75,37512930,116.79,117.44,115.72,35041820,2016-10-14,117.88
112.71,113.05,112.28,21634520,113.06,114.31,112.63,29707270,113.4,113.66,112.69,21400410,2016-10-06,113.7
97.41,97.67,96.84,25879680,97.39,98.99,97.32,38885980,98.92,99.3,98.5,30031410,2016-07-18,98.7
172.8,176.3,172.45,38426060,175.21,177.74,174.52,27825140,177.91,178.25,176.13,23273160,2018-03-07,174.94
183.9,184.1,182.56,23527660,184.85,187.33,183.74,39017490,185.8,188.39,185.79,26148590,2019-03-19,188.35
246.52,258.68,246.36,63140170,252.75,255.87,247.05,51054150,250.74,255.52,249.4,41994110,2020-03-31,255.6
147.54,148.09,146.84,44182930,145.59,147.49,144.27,45579740,146.52,147.14,145.81,23345970,2017-05-05,146.76
297.26,304.18,289.23,55548830,300.95,302.53,286.13,57668360,286.53,297.88,286.5,49678430,2020-02-27,281.1
95.0,96.84,94.08,45870130,95.86,97.33,95.19,46418230,96.52,96.92,93.69,46315620,2016-02-08,93.13
220.95,221.85,216.47,39194720,218.01,224.3,216.56,35644510,224.94,225.0,219.84,49118510,2018-09-13,223.52
109.88,111.37,109.07,52033100,110.63,111.74,109.77,48702200,111.74,111.77,109.41,46717770,2015-10-08,110.19
97.96,100.48,95.74,63000140,96.2,97.71,95.36,79356010,98.41,98.65,95.5,52960810,2016-01-20,95.1
96.49,96.89,96.05,28877500,96.75,97.65,96.73,23317990,97.17,97.7,97.12,24129530,2016-07-13,97.41
115.39,115.86,114.1,31396130,113.87,115.21,113.45,36792100,113.65,114.23,113.2,26378910,2016-11-01,113.46
184.66,185.71,182.55,29748560,179.8,180.54,177.81,36529740,180.2,182.14,178.62,23714690,2019-05-28,178.92
92.39,94.39,91.65,61192340,94.55,94.7,93.01,46858910,94.16,95.21,93.89,42009830,2016-05-19,94.64
155.81,156.73,155.49,16243080,156.06,158.0,155.1,15603520,155.97,156.98,155.75,16861450,2017-10-12,156.35
360.7,365.0,357.57,34380630,364.41,365.32,353.02,51314210,353.25,362.17,351.28,32661520,2020-06-30,360.08
120.99,121.22,119.45,49305220,119.87,121.36,119.61,32152870,120.79,123.49,120.7,45479260,2015-11-04,123.13
199.13,201.76,197.31,67812280,200.58,208.38,200.35,62317430,207.03,208.74,205.48,33408050,2018-08-06,208.0
176.18,177.36,175.65,25302200,177.9,179.39,176.14,29512410,176.15,179.25,175.07,34260230,2018-01-18,179.37
147.16,147.45,145.15,34089190,147.5,147.5,143.84,31454590,143.32,144.48,142.21,31642900,2017-06-16,143.78
162.62,165.42,162.41,28331540,164.12,165.73,163.37,27850370,164.0,164.33,160.63,35617230,2018-04-30,162.13
189.53,191.41,189.31,18000180,191.08,191.84,190.9,12506830,191.52,192.65,190.42,15009800,2018-07-17,189.75
96.25,96.89,95.35,29124140,95.94,96.29,95.25,32042290,92.91,94.66,92.65,75219710,2016-06-27,93.0
98.84,98.89,96.09,38866100,96.0,96.76,95.8,35290570,96.31,96.9,95.92,34240470,2016-02-23,96.4
166.11,169.0,164.56,40613260,166.96,168.98,165.93,32644590,167.41,171.66,167.28,31384720,2019-02-05,172.86
198.68,200.74,198.18,21654750,200.85,201.0,198.44,20543190,199.2,200.14,196.21,27738580,2019-04-15,198.58
99.83,101.0,99.13,32690080,99.26,99.3,98.31,28218240,98.25,98.84,96.92,40290580,2016-07-26,96.82
152.5,153.97,150.86,35661200,152.88,153.7,151.51,26924630,150.85,151.27,149.22,32018540,2019-01-15,150.27
98.55,99.11,96.76,70722000,98.97,99.06,97.34,49687870,100.55,100.69,98.84,49046150,2016-01-13,100.32
268.81,271.1,268.5,19723390,267.78,272.56,267.32,34437040,271.46,275.3,270.93,33432810,2019-12-16,277.0
218.93,222.99,216.76,28802550,222.3,222.64,219.34,22692880,217.86,219.74,213.0,32389280,2018-10-19,218.06
159.26,161.27,159.11,26060430,159.9,160.0,154.63,39636190,156.6,158.57,156.07,26208970,2017-08-14,159.32
133.08,133.82,132.75,22989980,133.47,135.09,133.25,33054500,135.52,136.27,134.62,35578640,2017-02-16,135.67
93.79,94.72,92.59,49979700,94.19,94.5,93.01,40323020,95.02,96.85,94.61,48032600,2016-02-17,96.67
167.81,171.75,166.9,38116290,167.88,168.94,164.47,37425640,167.64,168.75,164.88,30237640,2018-04-04,164.88
137.08,137.44,136.7,23446340,137.89,140.15,137.6,36362440,140.0,140.28,138.76,26170690,2017-03-03,138.78
171.8,173.95,171.71,30953760,173.67,175.65,173.54,33772050,176.35,179.39,176.21,37353670,2018-02-27,179.1
187.22,188.23,186.14,27468700,187.99,190.26,187.75,23377690,191.64,193.42,191.35,26190620,2018-06-05,193.07
347.9,354.77,346.09,41662940,349.31,351.06,335.48,50415610,344.72,347.8,334.22,50036510,2020-06-15,333.25
198.8,200.85,198.15,47800590,198.54,200.16,198.17,18220420,198.43,199.26,195.29,21070330,2019-06-26,197.77
165.67,166.33,161.22,33674960,162.62,165.42,162.41,28331540,164.12,165.73,163.37,27850370,2018-04-27,164.0
173.16,174.3,173.0,23751690,174.59,175.49,174.49,18653380,176.18,177.36,175.65,25302200,2018-01-16,177.9
110.78,112.03,110.07,28507780,111.6,112.2,110.27,36151450,110.37,110.94,109.03,37034520,2016-12-02,109.17
119.2,119.92,118.85,34135230,119.27,119.73,117.34,32445680,117.33,119.35,117.12,42747950,2015-11-25,119.21
112.03,114.53,112.0,56111590,110.15,111.88,107.36,76562170,110.23,112.34,109.13,61681250,2015-09-03,112.49
145.74,146.09,142.51,72187710,147.16,147.45,145.15,34089190,147.5,147.5,143.84,31454590,2017-06-15,143.32
95.42,96.04,94.28,37190500,95.0,96.84,94.08,45870130,95.86,97.33,95.19,46418230,2016-02-05,96.52
163.8,163.89,162.61,27215770,163.64,164.52,163.48,26729940,164.8,164.94,163.63,16564340,2017-09-05,163.75
93.98,96.38,93.32,36192150,96.05,96.76,95.25,27526040,97.2,98.02,96.58,28949760,2016-02-29,96.86
188.23,189.65,187.65,17186760,187.6,188.75,186.87,22409110,187.72,188.0,186.78,18503410,2018-05-31,187.22
222.01,223.76,220.37,22187880,221.38,222.56,217.47,57977090,218.95,219.84,217.65,19419650,2019-09-24,221.03
218.1,219.18,215.11,30149410,216.8,217.19,214.03,25682700,214.1,216.36,213.84,18965930,2018-08-23,214.65
97.82,98.41,97.03,29373050,96.45,97.75,96.07,31251870,96.62,96.65,95.3,60793260,2016-06-20,96.0
98.67,99.74,98.11,38258300,99.68,100.73,98.64,56293490,99.44,100.47,99.25,36299460,2016-05-31,99.6
265.8,267.43,264.23,21700900,267.9,268.0,265.39,19069600,265.54,266.08,260.4,26609920,2019-11-21,263.69
171.05,171.21,169.25,20940020,170.1,171.0,169.7,22224400,171.39,172.48,169.92,22389660,2019-02-14,169.71
173.41,175.0,173.04,22858840,174.78,175.84,173.85,25100510,175.03,176.19,174.83,21561320,2018-04-17,176.49
316.14,318.71,313.09,28236270,316.77,323.44,315.63,33449100,319.25,321.15,316.47,38399530,2020-06-01,317.75
110.63,111.74,109.77,48702200,111.74,111.77,109.41,46717770,110.19,110.19,108.21,61747260,2015-10-09,110.0
111.62,112.39,111.33,25364920,112.11,112.3,109.73,46873670,108.89,108.95,106.94,60784920,2016-04-19,107.88
97.32,98.48,96.75,31890740,97.82,98.41,97.03,29373050,96.45,97.75,96.07,31251870,2016-06-17,96.62
104.89,107.79,104.88,31154910,108.65,110.42,108.6,45547590,109.72,109.9,108.88,25763840,2016-04-01,108.78
173.67,175.65,173.54,33772050,176.35,179.39,176.21,37353670,179.1,180.48,178.16,38885510,2018-02-28,179.26
159.28,159.75,156.16,69726440,157.05,157.21,155.02,26604140,156.07,157.4,155.69,20514810,2017-08-07,157.06
186.41,189.7,185.41,36529680,186.27,191.75,186.02,26544720,189.91,192.47,188.84,33031360,2019-05-17,186.93
175.11,175.38,174.27,25129510,173.5,174.5,173.4,16956290,173.04,173.48,171.18,24683350,2017-11-15,169.97
160.5,162.05,159.89,31506890,162.61,163.96,158.77,71574560,159.87,159.96,157.91,44866280,2017-09-14,158.99
118.9,119.3,118.21,27057550,119.11,119.62,118.81,26083030,118.34,120.24,118.22,34412090,2017-01-18,120.0
218.95,219.84,217.65,19419650,221.03,222.49,217.19,31434370,218.55,221.5,217.14,22481010,2019-09-26,220.0
315.36,319.75,314.61,38190550,320.0,324.57,320.0,23495990,322.63,324.65,318.21,25141490,2020-02-21,318.62
113.87,115.21,113.45,36792100,113.65,114.23,113.2,26378910,113.46,113.77,110.53,43403760,2016-11-02,111.4
99.26,99.3,98.31,28218240,98.25,98.84,96.92,40290580,96.82,97.97,96.42,53454620,2016-07-27,104.27
129.08,129.62,128.31,45970470,130.97,132.97,130.7,55204920,132.85,132.92,130.32,73006780,2015-07-22,121.99
102.83,104.45,102.82,38771840,104.19,104.55,103.68,27697970,104.41,106.15,104.41,38018910,2016-08-02,106.05
110.15,111.88,107.36,76562170,110.23,112.34,109.13,61681250,112.49,112.78,110.04,53142590,2015-09-04,108.97
360.08,365.98,360.0,35055820,365.12,367.36,363.91,27684310,367.85,370.47,363.64,28510370,2020-07-06,370.0
162.71,162.99,160.52,21610300,162.09,162.24,160.36,21905160,160.86,161.15,158.53,28411740,2017-09-11,160.5
109.0,109.0,107.95,13596680,107.59,107.69,106.18,26639930,106.96,109.43,106.86,30912260,2015-12-30,108.58
174.87,175.42,173.25,23451420,174.17,176.02,174.1,20848660,174.68,175.42,174.5,16339690,2017-12-26,170.8
118.98,119.86,117.81,32063100,117.52,118.6,116.86,34275420,117.64,117.69,115.08,46301930,2015-12-10,116.04
182.99,186.53,182.54,24378480,185.23,187.28,184.03,24987260,184.1,186.21,183.8,17352380,2018-06-29,186.29
155.19,155.19,146.02,64782910,145.74,146.09,142.51,72187710,147.16,147.45,145.15,34089190,2017-06-14,147.5
219.79,223.36,218.94,28751540,215.83,223.25,214.7,38681170,222.6,224.23,214.54,39992120,2018-10-25,217.71
115.97,116.5,114.12,52828890,114.58,116.25,114.5,38610120,116.53,119.99,116.53,54851010,2015-08-11,117.81
95.94,96.29,95.25,32042290,92.91,94.66,92.65,75219710,93.0,93.05,91.5,45595680,2016-06-28,92.9
112.21,114.3,111.87,73991000,113.67,115.37,113.66,46594220,113.38,114.18,112.52,50278030,2015-09-23,113.63
97.65,100.77,97.42,50303500,100.51,100.89,99.64,33136130,100.58,101.71,100.45,36884490,2016-03-04,102.37
262.59,263.18,260.84,16331260,262.71,266.44,262.52,21029520,266.94,267.16,262.5,26334880,2019-11-27,265.58
163.09,163.4,159.07,51467440,160.29,161.0,155.03,54145930,157.07,157.89,150.24,70583530,2018-02-12,158.5
213.44,217.95,213.16,35034410,218.1,219.18,215.11,30149410,216.8,217.19,214.03,25682700,2018-08-22,214.1
115.12,116.13,114.04,79763890,115.19,116.18,113.25,46937190,113.05,114.12,112.51,34494150,2016-09-21,113.85
103.96,105.18,103.85,40026250,104.61,106.31,104.59,38236730,105.52,106.47,104.96,34394830,2016-03-18,106.34
230.78,232.35,226.73,31961120,227.96,228.41,220.58,33507770,222.21,224.8,220.2,28784550,2018-10-09,223.64
247.42,249.25,246.72,24143240,248.97,249.75,242.57,35709870,244.76,245.3,241.21,31130520,2019-10-31,247.24
351.46,353.2,344.72,41357180,355.15,355.4,351.09,28601630,351.41,353.45,349.22,24205100,2020-06-19,354.64
170.52,170.59,169.22,25938760,170.16,172.3,169.26,25400540,172.53,174.55,171.96,29461040,2018-01-04,172.54
219.05,222.36,216.81,52954070,209.55,213.65,205.43,91046560,204.3,204.39,198.17,66072170,2018-11-06,201.92
93.0,93.77,92.59,32895650,93.33,93.57,92.11,33653020,93.48,93.57,92.46,28641180,2016-05-12,92.72
106.7,110.23,106.6,58724080,109.81,110.35,108.83,27623150,109.72,110.54,109.66,28310840,2016-11-21,110.12
114.42,114.79,111.55,52411070,111.64,113.39,111.55,29800240,113.0,113.18,112.34,24587490,2016-09-28,113.69
94.16,95.21,93.89,42009830,94.64,94.64,93.57,30417880,94.64,95.43,94.52,31834020,2016-05-23,95.87
316.77,323.44,315.63,33449100,319.25,321.15,316.47,38399530,317.75,322.35,317.21,20254650,2020-06-02,320.75
105.8,106.5,105.5,24817940,105.66,106.57,105.64,31639010,106.14,106.8,105.62,26675250,2016-09-02,107.7
116.78,118.16,116.47,31714820,117.95,119.43,117.94,33420290,118.77,119.38,118.3,24432660,2017-01-11,118.74
100.78,101.76,100.4,31538710,101.31,101.58,100.27,27148530,101.41,102.24,100.15,33490630,2016-03-11,102.24
139.25,139.36,138.64,19578920,138.85,139.43,138.82,17048800,139.3,139.65,138.84,15281850,2017-03-15,139.41
219.19,219.69,206.09,45713690,211.15,215.18,209.27,36487930,216.88,220.45,216.62,38016810,2018-11-01,219.05
123.09,123.61,122.12,44371580,123.38,123.91,122.55,33570380,123.15,123.5,122.27,36912040,2015-07-30,122.32
157.05,157.21,155.02,26604140,156.07,157.4,155.69,20514810,157.06,158.92,156.67,21827400,2017-08-08,158.6
111.29,111.52,109.56,44434220,110.93,112.1,110.49,37622200,111.78,112.0,110.53,38794930,2015-10-19,110.8
115.2,115.57,112.27,45555300,111.38,114.24,111.0,37979570,114.92,115.05,113.32,27584020,2015-11-18,115.76
118.77,119.38,118.3,24432660,118.74,119.93,118.6,27453130,118.9,119.3,118.21,27057550,2017-01-13,119.11
117.52,118.02,116.2,20686510,116.45,117.11,116.4,14979680,116.65,117.2,115.43,30555900,2017-01-03,115.8
98.7,100.13,98.6,36464530,99.56,100.0,99.34,23766360,100.0,100.46,99.74,26219110,2016-07-21,99.83
113.85,113.99,112.44,35951900,114.35,114.94,114.0,31048170,114.42,114.79,111.55,52411070,2016-09-26,111.64
279.8,281.9,279.12,29024690,279.5,281.18,278.95,24626950,282.23,282.65,278.56,69032740,2019-12-23,280.53
137.38,137.48,136.3,20762360,135.91,136.66,135.28,21754600,137.14,137.44,136.28,20222210,2017-02-28,137.08
